bathroom_count,bedroom_count,build_year,cadastral_income,consumption_per_m2,epc,fireplace_count,fireplace_exists,furnish_exists,garden_exists,garden_orientation,garden_surface,gas_water_electricity_exists,habitable_surface,has_starting_price,heating_type,immoweb_id,is_holiday_property,kitchen_exists,kitchen_surface,kitchen_type,land_surface,living_surface,location,parking_box_count,parking_count_inside,parking_count_outside,postal_code,price,property_type,room_count,sale_type,sea_view_exists,sewer_exists,state_of_building,subtype,swimming_pool,terrace_exists,terrace_orientation,terrace_surface,toilet_count,transaction_subtype,url,wall_count
,0,,0,177,B,,False,False,False,,,True,1204,False,GAS,10778134,,False,,,0,,Gent,,,,9000,1950000,HOUSE,,NORMAL_SALE,,CONNECTED,GOOD,MANOR_HOUSE,,True,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Gent/9000/10778134,4
,0,1978,13582,159,B,,False,False,False,,,,,False,,11114779,,False,,,558,,Sint-Niklaas,,,,9100,1975000,HOUSE,,NORMAL_SALE,,CONNECTED,,MIXED_USE_BUILDING,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Sint-Niklaas/9100/11114779,
2,6,1987,2946,268,C,-1,True,False,True,SOUTH_EAST,,False,,False,FUELOIL,11064641,,True,,SEMI_EQUIPPED,30810,,Moorsel,,2,,9310,1975000,HOUSE,12,NORMAL_SALE,,,,EXCEPTIONAL_PROPERTY,,True,,,4,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Moorsel/9310/11064641,4
2,5,2004,1221,85,A,,False,False,False,,,True,670,False,FUELOIL,10821481,,False,40,,6210,51,Haaltert,,1,,9450,1989000,HOUSE,7,NORMAL_SALE,,CONNECTED,,COUNTRY_COTTAGE,True,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Haaltert/9450/10821481,4
8,8,1928,2536,,C,,False,False,False,,,,550,False,,10948947,,False,9,,5432,54,Ronse,,2,10,9600,1995000,HOUSE,16,NORMAL_SALE,,CONNECTED,GOOD,VILLA,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Ronse/9600/10948947,
9,21,,0,158,B,-1,True,False,False,,,False,1134,False,GAS,11114305,,True,,INSTALLED,0,,SINT-NIKLAAS,,6,,9100,1975000,HOUSE,39,NORMAL_SALE,,,GOOD,APARTMENT_BLOCK,,True,,30,9,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/SINT-NIKLAAS/9100/11114305,2
9,9,1935,5292,283,C,,False,False,False,,,,645,False,FUELOIL,11025897,,False,,,,,Gent,,2,,9000,2000000,APARTMENT,26,NORMAL_SALE,,,TO_RENOVATE,APARTMENT,,False,,,8,BUY_REGULAR,https://www.immoweb.be/en/classified/apartment/for-sale/Gent/9000/11025897,2
,4,,0,,,,False,False,False,,,,385,,,11124632,,False,,,2317,,Sint-Martens-Latem,,2,,9830,1834612,HOUSE,7,NORMAL_SALE,,,,HOUSE,,False,,,3,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Sint-Martens-Latem/9830/11124632,4
2,3,,0,271,C,-1,True,False,False,,,False,250,False,GAS,11147136,,True,,HYPER_EQUIPPED,5500,,Oudenaarde,,,10,9700,1850000,HOUSE,7,NORMAL_SALE,,,GOOD,VILLA,,True,,,2,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Oudenaarde/9700/11147136,4
4,8,,0,244,C,,False,False,False,,,,630,False,,10775539,,True,,USA_HYPER_EQUIPPED,8836,,Lokeren,,2,10,9160,1850000,HOUSE,12,NORMAL_SALE,,,AS_NEW,HOUSE,,True,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Lokeren/9160/10775539,4
4,10,2017,0,,B,,False,False,False,,,False,,,GAS,11002648,,True,,SEMI_EQUIPPED,950,,SINT-GILLIS-WAAS,,9,8,9170,1850000,HOUSE,19,NORMAL_SALE,,,GOOD,APARTMENT_BLOCK,,False,,,5,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/SINT-GILLIS-WAAS/9170/11002648,4
,0,,0,,,,False,False,False,,,,,False,,10945617,,False,,,0,,Zottegem,,,,9620,1800000,HOUSE,,NORMAL_SALE,,,GOOD,APARTMENT_BLOCK,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Zottegem/9620/10945617,3
